Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuit,Chrome 67.0.3396.79,,2018-08-27 23:45:59,2018-08-27 23:46:31,31.375s,PASSED
,,,,,,
Test Cases/KatalonDemo,Chrome 67.0.3396.79,,2018-08-27 23:46:00,2018-08-27 23:46:31,30.918s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-08-27 23:46:00,2018-08-27 23:46:08,8.088s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-08-27 23:46:08,2018-08-27 23:46:10,1.992s,PASSED
waitForPageLoad,Chrome 67.0.3396.79,,2018-08-27 23:46:10,2018-08-27 23:46:11,0.323s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-27 23:46:11,2018-08-27 23:46:14,3.536s,PASSED
setText,Chrome 67.0.3396.79,,2018-08-27 23:46:14,2018-08-27 23:46:15,0.514s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-08-27 23:46:15,2018-08-27 23:46:15,0.447s,PASSED
click,Chrome 67.0.3396.79,,2018-08-27 23:46:15,2018-08-27 23:46:15,0.254s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-27 23:46:15,2018-08-27 23:46:20,5.162s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-08-27 23:46:20,2018-08-27 23:46:21,0.074s,PASSED
click,Chrome 67.0.3396.79,,2018-08-27 23:46:21,2018-08-27 23:46:21,0.336s,PASSED
click,Chrome 67.0.3396.79,,2018-08-27 23:46:21,2018-08-27 23:46:27,5.732s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-27 23:46:27,2018-08-27 23:46:29,2.857s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-08-27 23:46:29,2018-08-27 23:46:29,0.032s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-08-27 23:46:29,2018-08-27 23:46:31,1.177s,PASSED
