Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuit,Chrome 67.0.3396.79,,2018-08-28 00:43:20,2018-08-28 00:43:53,33.004s,PASSED
,,,,,,
Test Cases/KatalonDemo,Chrome 67.0.3396.79,,2018-08-28 00:43:20,2018-08-28 00:43:53,32.528s,PASSED
openBrowser,Chrome 67.0.3396.79,,2018-08-28 00:43:21,2018-08-28 00:43:29,8.596s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-08-28 00:43:29,2018-08-28 00:43:32,2.379s,PASSED
waitForPageLoad,Chrome 67.0.3396.79,,2018-08-28 00:43:32,2018-08-28 00:43:32,0.176s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-28 00:43:32,2018-08-28 00:43:35,3.324s,PASSED
setText,Chrome 67.0.3396.79,,2018-08-28 00:43:35,2018-08-28 00:43:36,0.426s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-08-28 00:43:36,2018-08-28 00:43:36,0.371s,PASSED
click,Chrome 67.0.3396.79,,2018-08-28 00:43:36,2018-08-28 00:43:36,0.243s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-28 00:43:36,2018-08-28 00:43:42,6.062s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-08-28 00:43:42,2018-08-28 00:43:42,0.050s,PASSED
click,Chrome 67.0.3396.79,,2018-08-28 00:43:42,2018-08-28 00:43:43,0.941s,PASSED
click,Chrome 67.0.3396.79,,2018-08-28 00:43:43,2018-08-28 00:43:49,5.293s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-28 00:43:49,2018-08-28 00:43:52,3.185s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-08-28 00:43:52,2018-08-28 00:43:52,0.024s,PASSED
closeBrowser,Chrome 67.0.3396.79,,2018-08-28 00:43:52,2018-08-28 00:43:53,1.079s,PASSED
